"id","name","topic_id"
"1","Motion in Straight Line","1"
"2","Projectile Motion","1"
"3","Relative Motion","1"
"4","Newton Laws of Motion","2"
"5","Friction","2"
"6","Circular Motion","2"
"7","Work-Energy Theorem","3"
"8","Conservation of Energy","3"
"9","Power","3"
"10","First Law of Thermodynamics","4"
"11","Second Law of Thermodynamics","4"
"12","Entropy","4"
"13","Conduction","5"
"14","Convection","5"
"15","Radiation","5"
"16","Isothermal Process","6"
"17","Adiabatic Process","6"
"18","Isobaric Process","6"
"19","Coulomb Law","7"
"20","Electric Field","7"
"21","Gauss Law","7"
"22","Ohm Law","8"
"23","Kirchhoff Laws","8"
"24","Electrical Power","8"
"25","Magnetic Field","9"
"26","Electromagnetic Induction","9"
"27","Faraday Law","9"
"28","Alkanes","10"
"29","Alkenes","10"
"30","Alkynes","10"
"31","Alcohols","11"
"32","Aldehydes and Ketones","11"
"33","Carboxylic Acids","11"
"34","Optical Isomerism","12"
"35","Geometrical Isomerism","12"
"36","Conformational Analysis","12"
"37","Periodic Trends","13"
"38","s-block Elements","13"
"39","p-block Elements","13"
"40","Ionic Bonding","14"
"41","Covalent Bonding","14"
"42","VSEPR Theory","14"
"43","Werner Theory","15"
"44","Isomerism in Complexes","15"
"45","Crystal Field Theory","15"
"46","Rate of Reaction","16"
"47","Order of Reaction","16"
"48","Arrhenius Equation","16"
"49","Enthalpy","17"
"50","Entropy in Chemistry","17"
"51","Gibbs Free Energy","17"
"52","Electrochemical Cells","18"
"53","Nernst Equation","18"
"54","Conductivity","18"
"55","Limits and Continuity","19"
"56","Differentiation Rules","19"
"57","Applications of Derivatives","19"
"58","Indefinite Integrals","20"
"59","Definite Integrals","20"
"60","Applications of Integration","20"
"61","First Order Equations","21"
"62","Second Order Equations","21"
"63","Applications of DEs","21"
"64","Vectors and Spaces","22"
"65","Linear Transformations","22"
"66","Eigenvalues and Eigenvectors","22"
"67","Solving Quadratics","23"
"68","Quadratic Forms","23"
"69","Nature of Roots","23"
"70","Matrix Operations","24"
"71","Determinants","24"
"72","Matrix Inversion","24"
"73","Straight Lines","25"
"74","Circles","25"
"75","Conic Sections","25"
"76","Lines and Planes","26"
"77","Spheres","26"
"78","3D Coordinates","26"
"79","Vector Operations","27"
"80","Vector Applications","27"
"81","Scalar and Vector Products","27"
